ref输入图路径,输入图大小（H*W）,ref输入图路径,输入图大小（H*W）,推理结果（只记录第一个结果）,推理时间（平均时间/100epoch）,提示词
/home/sensing_test/Jiang_Zheng/2025-10-30/test_data/test_ref1.jpg,513*359,/home/sensing_test/Jiang_Zheng/2025-10-30/test_data/test1.jpg,903*1123,"{""bbox"":[150,110,500,420],""label"":""target_object""}",5.201547,"根据以上两张图片。第一张图片展示了一个目标物体。第二张图片包含了多个目标物体，\n请分析第一张图片中的目标物体，然后在第二张图片中找出所有相同类型的物体，并为每个检测到的物体输出边界框。\n请只返回 JSON，不要多余解释、前后缀或 Markdown 代码块,且label统一使用“target_object”。\nJSON 格式（示例值仅作结构参考）：\n{\n  ""results"": [\n    { ""bbox"": [480,365,610,440], ""label"": ""target_object"" },\n    { ""bbox"": [580,375,775,480], ""label"": ""target_object"" }\n  ]\n}\n"
/home/sensing_test/Jiang_Zheng/2025-10-30/test_data/test2_ref.png,966*532,/home/sensing_test/Jiang_Zheng/2025-10-30/test_data/test2.jpg,738*1159,"{""bbox"":[30,247,330,888],""label"":""target_object""}",2.142716,"根据以上两张图片。第一张图片展示了一个目标物体。第二张图片包含了多个目标物体，\n请分析第一张图片中的目标物体，然后在第二张图片中找出所有相同类型的物体，并为每个检测到的物体输出边界框。\n请只返回 JSON，不要多余解释、前后缀或 Markdown 代码块,且label统一使用“target_object”。\nJSON 格式（示例值仅作结构参考）：\n{\n  ""results"": [\n    { ""bbox"": [480,365,610,440], ""label"": ""target_object"" },\n    { ""bbox"": [580,375,775,480], ""label"": ""target_object"" }\n  ]\n}\n"
/home/sensing_test/Jiang_Zheng/2025-10-30/test_data/test3_ref.png,708*1048,/home/sensing_test/Jiang_Zheng/2025-10-30/test_data/test3.png,1024*1024,"{""bbox"":[185,175,385,390],""label"":""target_object""}",6.893210,"根据以上两张图片。第一张图片展示了一个目标物体。第二张图片包含了多个目标物体，\n请分析第一张图片中的目标物体，然后在第二张图片中找出所有相同类型的物体，并为每个检测到的物体输出边界框。\n请只返回 JSON，不要多余解释、前后缀或 Markdown 代码块,且label统一使用“target_object”。\nJSON 格式（示例值仅作结构参考）：\n{\n  ""results"": [\n    { ""bbox"": [480,365,610,440], ""label"": ""target_object"" },\n    { ""bbox"": [580,375,775,480], ""label"": ""target_object"" }\n  ]\n}\n"
/home/sensing_test/Jiang_Zheng/2025-10-30/test_data/test4_ref.png,640*640,/home/sensing_test/Jiang_Zheng/2025-10-30/test_data/test4.png,1024*1180,"{""bbox"":[105,330,550,650],""label"":""target_object""}",5.096357,"根据以上两张图片。第一张图片展示了一个目标物体。第二张图片包含了多个目标物体，\n请分析第一张图片中的目标物体，然后在第二张图片中找出所有相同类型的物体，并为每个检测到的物体输出边界框。\n请只返回 JSON，不要多余解释、前后缀或 Markdown 代码块,且label统一使用“target_object”。\nJSON 格式（示例值仅作结构参考）：\n{\n  ""results"": [\n    { ""bbox"": [480,365,610,440], ""label"": ""target_object"" },\n    { ""bbox"": [580,375,775,480], ""label"": ""target_object"" }\n  ]\n}\n"
/home/sensing_test/Jiang_Zheng/2025-10-30/test_data/test5_ref.png,726*927,/home/sensing_test/Jiang_Zheng/2025-10-30/test_data/test5.png,697*1045,"{""bbox"":[148,105,575,550],""label"":""target_object""}",3.715370,"根据以上两张图片。第一张图片展示了一个目标物体。第二张图片包含了多个目标物体，\n请分析第一张图片中的目标物体，然后在第二张图片中找出所有相同类型的物体，并为每个检测到的物体输出边界框。\n请只返回 JSON，不要多余解释、前后缀或 Markdown 代码块,且label统一使用“target_object”。\nJSON 格式（示例值仅作结构参考）：\n{\n  ""results"": [\n    { ""bbox"": [480,365,610,440], ""label"": ""target_object"" },\n    { ""bbox"": [580,375,775,480], ""label"": ""target_object"" }\n  ]\n}\n"
/home/sensing_test/Jiang_Zheng/2025-10-30/test_data/test6_ref.png,970*895,/home/sensing_test/Jiang_Zheng/2025-10-30/test_data/test6.png,1024*1024,"{""bbox"":[48,36,325,365],""label"":""target_object""}",5.192348,"根据以上两张图片。第一张图片展示了一个目标物体。第二张图片包含了多个目标物体，\n请分析第一张图片中的目标物体，然后在第二张图片中找出所有相同类型的物体，并为每个检测到的物体输出边界框。\n请只返回 JSON，不要多余解释、前后缀或 Markdown 代码块,且label统一使用“target_object”。\nJSON 格式（示例值仅作结构参考）：\n{\n  ""results"": [\n    { ""bbox"": [480,365,610,440], ""label"": ""target_object"" },\n    { ""bbox"": [580,375,775,480], ""label"": ""target_object"" }\n  ]\n}\n"
/home/sensing_test/Jiang_Zheng/2025-10-30/test_data/test7_ref.png,880*1092,/home/sensing_test/Jiang_Zheng/2025-10-30/test_data/test7.png,1162*1173,"{""bbox"":[700,375,960,655],""label"":""target_object""}",3.573782,"根据以上两张图片。第一张图片展示了一个目标物体。第二张图片包含了多个目标物体，\n请分析第一张图片中的目标物体，然后在第二张图片中找出所有相同类型的物体，并为每个检测到的物体输出边界框。\n请只返回 JSON，不要多余解释、前后缀或 Markdown 代码块,且label统一使用“target_object”。\nJSON 格式（示例值仅作结构参考）：\n{\n  ""results"": [\n    { ""bbox"": [480,365,610,440], ""label"": ""target_object"" },\n    { ""bbox"": [580,375,775,480], ""label"": ""target_object"" }\n  ]\n}\n"
/home/sensing_test/Jiang_Zheng/2025-10-30/test_data/test8_ref.png,1012*787,/home/sensing_test/Jiang_Zheng/2025-10-30/test_data/test8_3.png,645*594,"{""bbox"":[380,365,480,900],""label"":""target_object""}",6.206931,"根据以上两张图片。第一张图片展示了一个目标物体。第二张图片包含了多个目标物体，\n请分析第一张图片中的目标物体，然后在第二张图片中找出所有相同类型的物体，并为每个检测到的物体输出边界框。\n请只返回 JSON，不要多余解释、前后缀或 Markdown 代码块,且label统一使用“target_object”。\nJSON 格式（示例值仅作结构参考）：\n{\n  ""results"": [\n    { ""bbox"": [480,365,610,440], ""label"": ""target_object"" },\n    { ""bbox"": [580,375,775,480], ""label"": ""target_object"" }\n  ]\n}\n"
/home/sensing_test/Jiang_Zheng/2025-10-30/test_data/test9_ref.png,1114*862,/home/sensing_test/Jiang_Zheng/2025-10-30/test_data/test9.png,1318*1399,"{""bbox"":[100,460,330,900],""label"":""target_object""}",2.490480,"根据以上两张图片。第一张图片展示了一个目标物体。第二张图片包含了多个目标物体，\n请分析第一张图片中的目标物体，然后在第二张图片中找出所有相同类型的物体，并为每个检测到的物体输出边界框。\n请只返回 JSON，不要多余解释、前后缀或 Markdown 代码块,且label统一使用“target_object”。\nJSON 格式（示例值仅作结构参考）：\n{\n  ""results"": [\n    { ""bbox"": [480,365,610,440], ""label"": ""target_object"" },\n    { ""bbox"": [580,375,775,480], ""label"": ""target_object"" }\n  ]\n}\n"
/home/sensing_test/Jiang_Zheng/2025-10-30/test_data/test10_ref.png,949*1020,/home/sensing_test/Jiang_Zheng/2025-10-30/test_data/test10_2.png,1302*1742,"{""bbox"":[365,390,630,575],""label"":""target_object""}",2.487272,"根据以上两张图片。第一张图片展示了一个目标物体。第二张图片包含了多个目标物体，\n请分析第一张图片中的目标物体，然后在第二张图片中找出所有相同类型的物体，并为每个检测到的物体输出边界框。\n请只返回 JSON，不要多余解释、前后缀或 Markdown 代码块,且label统一使用“target_object”。\nJSON 格式（示例值仅作结构参考）：\n{\n  ""results"": [\n    { ""bbox"": [480,365,610,440], ""label"": ""target_object"" },\n    { ""bbox"": [580,375,775,480], ""label"": ""target_object"" }\n  ]\n}\n"
